image_id,file_name,image_path,annotation_id,category_id,category_name,bbox_x,bbox_y,bbox_w,bbox_h,area,primary_challenge,reflective,transparent,occlusion,small_parts,dynamic,gt_mask_path
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,1,1,table,0.0,127.0,640.0,353.0,173749.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500_final/instance_masks/final/ann_00000001_img_000000_cat_table.png
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,2,1,table,0.0,0.0,640.0,171.0,92824.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500_final/instance_masks/final/ann_00000002_img_000000_cat_table.png
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,3,3,metal_part,512.0,201.0,44.0,85.0,2584.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500_final/instance_masks/final/ann_00000003_img_000000_cat_metal_part.png
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,4,9,tool,534.0,229.0,51.0,145.0,4446.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500_final/instance_masks/final/ann_00000004_img_000000_cat_tool.png
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,5,10,box,395.0,149.0,155.0,120.0,15468.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500_final/instance_masks/final/ann_00000005_img_000000_cat_box.png
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,6,3,metal_part,222.0,122.0,76.0,73.0,4949.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500_final/instance_masks/final/ann_00000006_img_000000_cat_metal_part.png
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,7,3,metal_part,161.0,218.0,78.0,121.0,7685.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500_final/instance_masks/final/ann_00000007_img_000000_cat_metal_part.png
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,8,6,screw,217.0,227.0,15.0,22.0,200.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500_final/instance_masks/final/ann_00000008_img_000000_cat_screw.png
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,9,3,metal_part,306.0,269.0,72.0,117.0,5295.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500_final/instance_masks/final/ann_00000009_img_000000_cat_metal_part.png
2,000001.png,data/cogar_sim_500_final/rgb/000001.png,10,1,table,0.0,0.0,640.0,480.0,257166.0,transparent_glass,0,1,1,1,0,data/cogar_sim_500_final/instance_masks/final/ann_00000010_img_000001_cat_table.png
2,000001.png,data/cogar_sim_500_final/rgb/000001.png,11,7,connector,461.0,112.0,90.0,47.0,3482.0,transparent_glass,0,1,1,1,0,data/cogar_sim_500_final/instance_masks/final/ann_00000011_img_000001_cat_connector.png
2,000001.png,data/cogar_sim_500_final/rgb/000001.png,12,4,glass_object,378.0,68.0,90.0,148.0,6778.0,transparent_glass,0,1,1,1,0,data/cogar_sim_500_final/instance_masks/final/ann_00000012_img_000001_cat_glass_object.png
