row_index,file_name,object_id,image_path,gt_mask_path,category_name,primary_challenge,box_prompt_iou,box_prompt_sam_score,sam_auto_best_iou,sam_auto_best_mask_index,sam_auto_num_masks_image,sam_auto_predicted_iou,sam_auto_stability_score,sam_auto_mask_area,sam_auto_bbox_xmin,sam_auto_bbox_ymin,sam_auto_bbox_xmax,sam_auto_bbox_ymax,sam_auto_best_mask_path,device,model_type,points_per_side,pred_iou_thresh,stability_score_thresh,crop_n_layers,min_mask_region_area
0,000000.png,3,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000003_img_000000_cat_box.png,box,reflective_metal,0.9841485744179964,0.9931624531745912,0.984537428825158,3,22,1.0043002367019653,0.9862260222434998,18957.0,240.0,93.0,410.0,277.0,,cuda,vit_b,16,0.88,0.95,0,100
1,000000.png,4,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000004_img_000000_cat_plastic_object.png,plastic_object,reflective_metal,0.9823085221143474,0.9892022609710692,0.9844693701466781,5,22,0.9925493001937866,0.9880095720291138,4566.0,59.0,216.0,137.0,288.0,,cuda,vit_b,16,0.88,0.95,0,100
2,000000.png,5,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000005_img_000000_cat_plastic_object.png,plastic_object,reflective_metal,0.9792134831460674,0.9816735982894896,0.9752808988764045,1,22,1.014819622039795,0.9917734861373901,5208.0,303.0,393.0,396.0,464.0,,cuda,vit_b,16,0.88,0.95,0,100
3,000000.png,6,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000006_img_000000_cat_metal_part.png,metal_part,reflective_metal,0.9300998573466476,0.9685908555984496,0.9342857142857143,13,22,0.9497103691101074,0.9803328514099121,654.0,376.0,123.0,414.0,147.0,,cuda,vit_b,16,0.88,0.95,0,100
4,000000.png,7,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000007_img_000000_cat_box.png,box,reflective_metal,0.9833686330335752,1.00574791431427,0.9833009304263297,0,22,1.0182541608810425,0.9914244413375854,28331.0,58.0,266.0,274.0,478.0,,cuda,vit_b,16,0.88,0.95,0,100
5,000000.png,8,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000008_img_000000_cat_tool.png,tool,reflective_metal,0.9676565715965892,0.9749578237533568,0.9659424544920728,10,22,0.9654196500778198,0.9826555252075195,3314.0,0.0,306.0,126.0,344.0,,cuda,vit_b,16,0.88,0.95,0,100
6,000000.png,9,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000009_img_000000_cat_metal_part.png,metal_part,reflective_metal,0.91,0.9470438361167908,0.0003139224611520954,4,22,0.9985262155532837,0.984260082244873,12560.0,370.0,0.0,505.0,150.0,,cuda,vit_b,16,0.88,0.95,0,100
7,000000.png,10,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000010_img_000000_cat_metal_part.png,metal_part,reflective_metal,0.953428964433091,0.974370002746582,0.898779046868846,15,22,0.9257380962371826,0.9669528007507324,4574.0,403.0,153.0,463.0,258.0,,cuda,vit_b,16,0.88,0.95,0,100
8,000000.png,11,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000011_img_000000_cat_connector.png,connector,reflective_metal,0.9380245319561008,0.9693078994750975,0.9628893306825712,9,22,0.9791965484619141,0.9793333411216736,1483.0,151.0,125.0,199.0,184.0,,cuda,vit_b,16,0.88,0.95,0,100
9,000000.png,12,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000012_img_000000_cat_box.png,box,reflective_metal,0.9927461956950248,0.9947708249092102,0.9885709781666272,4,22,0.9985262155532837,0.984260082244873,12560.0,370.0,0.0,505.0,150.0,,cuda,vit_b,16,0.88,0.95,0,100
