image_id,file_name,image_path,object_id,annotation_id,category_id,category_name,binary_mask_path,gt_mask_path,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,bbox_x,bbox_y,bbox_w,bbox_h,area,primary_challenge,reflective,transparent,occlusion,small_parts,dynamic
1,000000.png,data/cogar_sim_500/rgb/000000.png,3,3,10,box,outputs/cogar_sim_500/gt_binary_masks/ann_00000003_img_000000_cat_box.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000003_img_000000_cat_box.png,238.0,92.0,413.0,280.0,238.0,92.0,175.0,188.0,19033.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500/rgb/000000.png,4,4,5,plastic_object,outputs/cogar_sim_500/gt_binary_masks/ann_00000004_img_000000_cat_plastic_object.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000004_img_000000_cat_plastic_object.png,59.0,215.0,138.0,289.0,59.0,215.0,79.0,74.0,4634.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500/rgb/000000.png,5,5,5,plastic_object,outputs/cogar_sim_500/gt_binary_masks/ann_00000005_img_000000_cat_plastic_object.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000005_img_000000_cat_plastic_object.png,302.0,393.0,397.0,466.0,302.0,393.0,95.0,73.0,5340.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500/rgb/000000.png,6,6,3,metal_part,outputs/cogar_sim_500/gt_binary_masks/ann_00000006_img_000000_cat_metal_part.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000006_img_000000_cat_metal_part.png,374.0,123.0,415.0,148.0,374.0,123.0,41.0,25.0,700.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500/rgb/000000.png,7,7,10,box,outputs/cogar_sim_500/gt_binary_masks/ann_00000007_img_000000_cat_box.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000007_img_000000_cat_box.png,56.0,265.0,276.0,480.0,56.0,265.0,220.0,215.0,28796.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500/rgb/000000.png,8,8,9,tool,outputs/cogar_sim_500/gt_binary_masks/ann_00000008_img_000000_cat_tool.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000008_img_000000_cat_tool.png,0.0,306.0,130.0,345.0,0.0,306.0,130.0,39.0,3382.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500/rgb/000000.png,9,9,3,metal_part,outputs/cogar_sim_500/gt_binary_masks/ann_00000009_img_000000_cat_metal_part.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000009_img_000000_cat_metal_part.png,382.0,33.0,400.0,70.0,382.0,33.0,18.0,37.0,186.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500/rgb/000000.png,10,10,3,metal_part,outputs/cogar_sim_500/gt_binary_masks/ann_00000010_img_000000_cat_metal_part.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000010_img_000000_cat_metal_part.png,400.0,142.0,464.0,261.0,400.0,142.0,64.0,119.0,5068.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500/rgb/000000.png,11,11,7,connector,outputs/cogar_sim_500/gt_binary_masks/ann_00000011_img_000000_cat_connector.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000011_img_000000_cat_connector.png,151.0,124.0,201.0,185.0,151.0,124.0,50.0,61.0,1479.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500/rgb/000000.png,12,12,10,box,outputs/cogar_sim_500/gt_binary_masks/ann_00000012_img_000000_cat_box.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000012_img_000000_cat_box.png,368.0,0.0,508.0,153.0,368.0,0.0,140.0,153.0,12669.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500/rgb/000000.png,13,13,5,plastic_object,outputs/cogar_sim_500/gt_binary_masks/ann_00000013_img_000000_cat_plastic_object.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000013_img_000000_cat_plastic_object.png,131.0,157.0,280.0,289.0,131.0,157.0,149.0,132.0,11124.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500/rgb/000000.png,14,14,10,box,outputs/cogar_sim_500/gt_binary_masks/ann_00000014_img_000000_cat_box.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000014_img_000000_cat_box.png,342.0,158.0,476.0,333.0,342.0,158.0,134.0,175.0,7402.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500/rgb/000000.png,15,15,8,cable,outputs/cogar_sim_500/gt_binary_masks/ann_00000015_img_000000_cat_cable.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000015_img_000000_cat_cable.png,442.0,128.0,457.0,154.0,442.0,128.0,15.0,26.0,65.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500/rgb/000000.png,16,16,3,metal_part,outputs/cogar_sim_500/gt_binary_masks/ann_00000016_img_000000_cat_metal_part.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000016_img_000000_cat_metal_part.png,386.0,147.0,412.0,192.0,386.0,147.0,26.0,45.0,517.0,reflective_metal,1,0,0,1,0
3,000002.png,data/cogar_sim_500/rgb/000002.png,21,21,5,plastic_object,outputs/cogar_sim_500/gt_binary_masks/ann_00000021_img_000002_cat_plastic_object.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000021_img_000002_cat_plastic_object.png,344.0,0.0,379.0,68.0,344.0,0.0,35.0,68.0,1368.0,partial_occlusion,1,1,1,1,0
3,000002.png,data/cogar_sim_500/rgb/000002.png,22,22,5,plastic_object,outputs/cogar_sim_500/gt_binary_masks/ann_00000022_img_000002_cat_plastic_object.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000022_img_000002_cat_plastic_object.png,401.0,303.0,451.0,380.0,401.0,303.0,50.0,77.0,2919.0,partial_occlusion,1,1,1,1,0
3,000002.png,data/cogar_sim_500/rgb/000002.png,23,23,3,metal_part,outputs/cogar_sim_500/gt_binary_masks/ann_00000023_img_000002_cat_metal_part.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000023_img_000002_cat_metal_part.png,301.0,453.0,360.0,480.0,301.0,453.0,59.0,27.0,822.0,partial_occlusion,1,1,1,1,0
