image_id,file_name,image_path,object_id,annotation_id,category_id,category_name,binary_mask_path,gt_mask_path,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,bbox_x,bbox_y,bbox_w,bbox_h,area,primary_challenge,reflective,transparent,occlusion,small_parts,dynamic,point_x,point_y
1,000000.png,data/cogar_sim_500/rgb/000000.png,3,3,10,box,outputs/cogar_sim_500/gt_binary_masks/ann_00000003_img_000000_cat_box.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000003_img_000000_cat_box.png,238.0,92.0,413.0,280.0,238.0,92.0,175.0,188.0,19033.0,reflective_metal,1,0,0,1,0,328.0,184.0
1,000000.png,data/cogar_sim_500/rgb/000000.png,4,4,5,plastic_object,outputs/cogar_sim_500/gt_binary_masks/ann_00000004_img_000000_cat_plastic_object.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000004_img_000000_cat_plastic_object.png,59.0,215.0,138.0,289.0,59.0,215.0,79.0,74.0,4634.0,reflective_metal,1,0,0,1,0,97.0,253.0
1,000000.png,data/cogar_sim_500/rgb/000000.png,5,5,5,plastic_object,outputs/cogar_sim_500/gt_binary_masks/ann_00000005_img_000000_cat_plastic_object.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000005_img_000000_cat_plastic_object.png,302.0,393.0,397.0,466.0,302.0,393.0,95.0,73.0,5340.0,reflective_metal,1,0,0,1,0,349.0,429.0
1,000000.png,data/cogar_sim_500/rgb/000000.png,6,6,3,metal_part,outputs/cogar_sim_500/gt_binary_masks/ann_00000006_img_000000_cat_metal_part.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000006_img_000000_cat_metal_part.png,374.0,123.0,415.0,148.0,374.0,123.0,41.0,25.0,700.0,reflective_metal,1,0,0,1,0,394.0,135.0
1,000000.png,data/cogar_sim_500/rgb/000000.png,7,7,10,box,outputs/cogar_sim_500/gt_binary_masks/ann_00000007_img_000000_cat_box.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000007_img_000000_cat_box.png,56.0,265.0,276.0,480.0,56.0,265.0,220.0,215.0,28796.0,reflective_metal,1,0,0,1,0,167.0,384.0
1,000000.png,data/cogar_sim_500/rgb/000000.png,8,8,9,tool,outputs/cogar_sim_500/gt_binary_masks/ann_00000008_img_000000_cat_tool.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000008_img_000000_cat_tool.png,0.0,306.0,130.0,345.0,0.0,306.0,130.0,39.0,3382.0,reflective_metal,1,0,0,1,0,61.0,325.0
1,000000.png,data/cogar_sim_500/rgb/000000.png,9,9,3,metal_part,outputs/cogar_sim_500/gt_binary_masks/ann_00000009_img_000000_cat_metal_part.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000009_img_000000_cat_metal_part.png,382.0,33.0,400.0,70.0,382.0,33.0,18.0,37.0,186.0,reflective_metal,1,0,0,1,0,389.0,51.0
1,000000.png,data/cogar_sim_500/rgb/000000.png,10,10,3,metal_part,outputs/cogar_sim_500/gt_binary_masks/ann_00000010_img_000000_cat_metal_part.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000010_img_000000_cat_metal_part.png,400.0,142.0,464.0,261.0,400.0,142.0,64.0,119.0,5068.0,reflective_metal,1,0,0,1,0,431.0,201.0
1,000000.png,data/cogar_sim_500/rgb/000000.png,11,11,7,connector,outputs/cogar_sim_500/gt_binary_masks/ann_00000011_img_000000_cat_connector.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000011_img_000000_cat_connector.png,151.0,124.0,201.0,185.0,151.0,124.0,50.0,61.0,1479.0,reflective_metal,1,0,0,1,0,175.0,154.0
1,000000.png,data/cogar_sim_500/rgb/000000.png,12,12,10,box,outputs/cogar_sim_500/gt_binary_masks/ann_00000012_img_000000_cat_box.png,outputs/cogar_sim_500/gt_binary_masks/ann_00000012_img_000000_cat_box.png,368.0,0.0,508.0,153.0,368.0,0.0,140.0,153.0,12669.0,reflective_metal,1,0,0,1,0,435.0,67.0
