image_path,label_path,sequence,file_name
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-11-33.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-11-33.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-11-33.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-32.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-13-32.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-13-32.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-53.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-13-53.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-13-53.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-16.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-14-16.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-14-16.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-40.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-14-40.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-14-40.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-15-03.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-15-03.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-15-03.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-15-42.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-15-42.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-15-42.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-16-33.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-16-33.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-16-33.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-16-51.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-16-51.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-16-51.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-17-53.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-17-53.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-17-53.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-18-17.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-18-17.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-18-17.png
