image_path,label_path,sequence,file_name,object_id,area,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,point_x,point_y
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-11-33.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-11-33.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-11-33.png,1,45918,6,11,609,97,315,50
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-11-33.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-11-33.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-11-33.png,2,229421,3,83,607,471,303,279
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-32.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-13-32.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-13-32.png,1,45872,6,11,609,96,315,50
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-32.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-13-32.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-13-32.png,2,225460,3,83,607,471,301,279
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-32.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-13-32.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-13-32.png,3,4007,377,229,449,300,413,262
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-53.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-13-53.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-13-53.png,1,45863,6,11,609,95,315,50
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-53.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-13-53.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-13-53.png,2,222928,3,83,607,471,299,278
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-53.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-13-53.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-13-53.png,3,4025,377,229,449,300,413,263
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-53.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-13-53.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-13-53.png,4,2521,374,292,453,390,412,343
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-16.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-14-16.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-14-16.png,1,45854,6,11,609,95,315,50
