row_index,file_name,object_id,image_path,gt_mask_path,category_name,primary_challenge,box_prompt_iou,box_prompt_sam_score,sam_auto_best_iou,sam_auto_best_mask_index,sam_auto_num_masks_image,sam_auto_predicted_iou,sam_auto_stability_score,sam_auto_mask_area,sam_auto_bbox_xmin,sam_auto_bbox_ymin,sam_auto_bbox_xmax,sam_auto_bbox_ymax,sam_auto_best_mask_path,device,model_type,points_per_side,pred_iou_thresh,stability_score_thresh,crop_n_layers,min_mask_region_area
0,000000.png,3,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000003_img_000000_cat_box.png,box,reflective_metal,0.9841485744179964,0.9931624531745912,0.9844231874967331,3,13,0.9935997724533081,0.9860004186630249,18931.0,240.0,93.0,410.0,277.0,,cuda,vit_b,8,0.88,0.95,0,100
1,000000.png,4,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000004_img_000000_cat_plastic_object.png,plastic_object,reflective_metal,0.9823085221143474,0.9892022609710692,0.9836136265631737,6,13,0.9667155146598816,0.9841235280036926,4566.0,59.0,216.0,137.0,288.0,,cuda,vit_b,8,0.88,0.95,0,100
2,000000.png,5,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000005_img_000000_cat_plastic_object.png,plastic_object,reflective_metal,0.9792134831460674,0.9816735982894896,0.9698501872659177,2,13,1.0013574361801147,0.988856852054596,5179.0,303.0,393.0,396.0,464.0,,cuda,vit_b,8,0.88,0.95,0,100
3,000000.png,6,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000006_img_000000_cat_metal_part.png,metal_part,reflective_metal,0.9300998573466476,0.9685908555984496,0.00015284287752190747,3,13,0.9935997724533081,0.9860004186630249,18931.0,240.0,93.0,410.0,277.0,,cuda,vit_b,8,0.88,0.95,0,100
4,000000.png,7,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000007_img_000000_cat_box.png,box,reflective_metal,0.9833686330335752,1.00574791431427,0.9820827112052501,0,13,1.0131802558898926,0.9821585416793823,28286.0,58.0,266.0,274.0,478.0,,cuda,vit_b,8,0.88,0.95,0,100
5,000000.png,8,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000008_img_000000_cat_tool.png,tool,reflective_metal,0.9676565715965892,0.9749578237533568,0.965679084775594,8,13,0.9607412815093994,0.9817801713943481,3319.0,0.0,306.0,126.0,344.0,,cuda,vit_b,8,0.88,0.95,0,100
6,000000.png,9,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000009_img_000000_cat_metal_part.png,metal_part,reflective_metal,0.91,0.9470438361167908,0.0004696673189823875,4,13,0.9884974956512451,0.9850675463676453,12595.0,369.0,0.0,505.0,150.0,,cuda,vit_b,8,0.88,0.95,0,100
7,000000.png,10,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000010_img_000000_cat_metal_part.png,metal_part,reflective_metal,0.953428964433091,0.974370002746582,0.0017302463541237537,10,13,0.9810153245925903,0.9744876623153687,7090.0,344.0,231.0,475.0,331.0,,cuda,vit_b,8,0.88,0.95,0,100
8,000000.png,11,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000011_img_000000_cat_connector.png,connector,reflective_metal,0.9380245319561008,0.9693078994750975,0.0,-1,13,,,,-1.0,-1.0,-1.0,-1.0,,cuda,vit_b,8,0.88,0.95,0,100
9,000000.png,12,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000012_img_000000_cat_box.png,box,reflective_metal,0.9927461956950248,0.9947708249092102,0.9911727616645649,4,13,0.9884974956512451,0.9850675463676453,12595.0,369.0,0.0,505.0,150.0,,cuda,vit_b,8,0.88,0.95,0,100
