file_name,image_path,num_objects,num_categories,total_mask_area,mean_gray,std_gray,readable,challenge_primary,bad_reasons,is_bad
000000.png,data/cogar_sim_500_final/rgb/000000.png,7,4,40627.0,88.01538736979167,64.17058240886078,True,reflective_metal,,False
000001.png,data/cogar_sim_500_final/rgb/000001.png,7,4,47244.0,189.152158203125,53.66715941405815,True,transparent_glass,,False
000002.png,data/cogar_sim_500_final/rgb/000002.png,9,5,64184.0,147.82023763020834,41.597931951623096,True,partial_occlusion,,False
000003.png,data/cogar_sim_500_final/rgb/000003.png,11,7,38375.0,138.09761067708334,48.00906378204678,True,small_parts,,False
000004.png,data/cogar_sim_500_final/rgb/000004.png,8,4,120911.0,134.34931640625,56.23381737290804,True,dynamic_scene,,False
000005.png,data/cogar_sim_500_final/rgb/000005.png,9,6,54406.0,123.99890625,54.17545232132702,True,reflective_metal,,False
000006.png,data/cogar_sim_500_final/rgb/000006.png,9,5,52957.0,138.5044921875,59.99270522606132,True,transparent_glass,,False
000007.png,data/cogar_sim_500_final/rgb/000007.png,8,5,25524.0,147.07835286458334,47.47289125171714,True,partial_occlusion,,False
000008.png,data/cogar_sim_500_final/rgb/000008.png,12,7,66764.0,126.71771158854166,54.251240242136845,True,small_parts,,False
000009.png,data/cogar_sim_500_final/rgb/000009.png,7,3,50731.0,114.70048177083333,45.4706567014558,True,dynamic_scene,,False
000011.png,data/cogar_sim_500_final/rgb/000011.png,8,4,55439.0,106.6598046875,65.34986219192447,True,transparent_glass,,False
000012.png,data/cogar_sim_500_final/rgb/000012.png,10,5,80421.0,129.54583984375,45.7256509830457,True,partial_occlusion,,False
000013.png,data/cogar_sim_500_final/rgb/000013.png,13,3,23135.0,140.95960286458333,54.31330541787344,True,small_parts,,False
000014.png,data/cogar_sim_500_final/rgb/000014.png,9,6,66815.0,174.99576497395833,54.36629514524383,True,dynamic_scene,,False
000015.png,data/cogar_sim_500_final/rgb/000015.png,8,5,52945.0,181.07396158854166,38.056556584699855,True,reflective_metal,,False
000016.png,data/cogar_sim_500_final/rgb/000016.png,6,3,65535.0,106.62478515625,49.30936072356711,True,transparent_glass,,False
000018.png,data/cogar_sim_500_final/rgb/000018.png,10,4,20574.0,84.87673828125,35.68959743598183,True,small_parts,,False
000020.png,data/cogar_sim_500_final/rgb/000020.png,6,3,33904.0,212.46212239583335,47.28684930686793,True,reflective_metal,,False
000022.png,data/cogar_sim_500_final/rgb/000022.png,8,3,50838.0,166.82736653645833,51.07656221255391,True,partial_occlusion,,False
000023.png,data/cogar_sim_500_final/rgb/000023.png,13,5,32614.0,106.723828125,37.38437502516984,True,small_parts,,False
000024.png,data/cogar_sim_500_final/rgb/000024.png,9,3,30907.0,114.56068033854167,29.794258638946385,True,dynamic_scene,,False
000025.png,data/cogar_sim_500_final/rgb/000025.png,10,4,33198.0,185.795751953125,39.0849967492181,True,reflective_metal,,False
000026.png,data/cogar_sim_500_final/rgb/000026.png,6,4,54642.0,105.694814453125,40.15977079812608,True,transparent_glass,,False
000027.png,data/cogar_sim_500_final/rgb/000027.png,12,6,96723.0,167.83548177083333,51.23057073430559,True,partial_occlusion,,False
000028.png,data/cogar_sim_500_final/rgb/000028.png,10,7,59759.0,186.32678385416668,44.28929145191483,True,small_parts,,False
000029.png,data/cogar_sim_500_final/rgb/000029.png,6,3,17650.0,206.95787109375,42.35579720872348,True,dynamic_scene,,False
