row_index,file_name,object_id,image_path,gt_mask_path,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,sam_mask_path,sam_visualization_path,sam_score,iou,boundary_f1,latency_sec,fps,device,model_type,category_name,challenge_primary,is_reflective,is_transparent,is_occluded,is_small_part,is_dynamic,split,run
2505,000362.png,3172,data/cogar_sim_500_final/rgb/000362.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00003172_img_000362_cat_cable.png,196.0,209.0,383.0,332.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_final/masks/row_2505_object_3172_sam_mask.png,,0.8658555150032043,0.0,0.0232351952062123,0.0129852210011449,77.01062615043868,cuda,vit_b,cable,partial_occlusion,False,False,True,False,False,train,SAM ViT-B box
737,000114.png,943,data/cogar_sim_500_final/rgb/000114.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000943_img_000114_cat_box.png,222.0,88.0,416.0,284.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_final/masks/row_0737_object_943_sam_mask.png,,0.9721596240997314,0.0014915478952601,0.4499779939126823,0.0126513759969384,79.04278556277153,cuda,vit_b,box,dynamic_scene,False,False,True,False,True,train,SAM ViT-B box
3895,000564.png,4932,data/cogar_sim_500_final/rgb/000564.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00004932_img_000564_cat_tool.png,308.0,179.0,446.0,265.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_final/masks/row_3895_object_4932_sam_mask.png,,0.9282352924346924,0.0035008469791078,0.2776659502120933,0.0211293530010152,47.32752583346732,cuda,vit_b,tool,dynamic_scene,True,False,True,False,True,test,SAM ViT-B box
1769,000259.png,2247,data/cogar_sim_500_final/rgb/000259.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00002247_img_000259_cat_robot_gripper.png,256.0,126.0,295.0,254.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_final/masks/row_1769_object_2247_sam_mask.png,,0.749517560005188,0.0070814365199797,0.2765388046387154,0.0141740840008424,70.55129629121477,cuda,vit_b,robot_gripper,dynamic_scene,False,False,True,False,True,train,SAM ViT-B box
2370,000344.png,3001,data/cogar_sim_500_final/rgb/000344.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00003001_img_000344_cat_robot_gripper.png,264.0,237.0,309.0,274.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_final/masks/row_2370_object_3001_sam_mask.png,,0.8742103576660156,0.0125272331154684,0.509346124003668,0.0124482069986697,80.33285437066243,cuda,vit_b,robot_gripper,dynamic_scene,False,False,True,False,True,train,SAM ViT-B box
843,000131.png,1075,data/cogar_sim_500_final/rgb/000131.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00001075_img_000131_cat_robot_gripper.png,315.0,123.0,349.0,232.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_final/masks/row_0843_object_1075_sam_mask.png,,0.7189493775367737,0.0131914893617021,0.2390470241813152,0.0126992389996303,78.74487597478164,cuda,vit_b,robot_gripper,transparent_glass,False,False,True,False,False,train,SAM ViT-B box
2416,000351.png,3068,data/cogar_sim_500_final/rgb/000351.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00003068_img_000351_cat_robot_gripper.png,349.0,299.0,397.0,350.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_final/masks/row_2416_object_3068_sam_mask.png,,0.9153215289115906,0.0271889400921658,0.4234965613527069,0.0125501639995491,79.68023366355426,cuda,vit_b,robot_gripper,transparent_glass,False,False,True,False,False,train,SAM ViT-B box
158,000022.png,202,data/cogar_sim_500_final/rgb/000022.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000202_img_000022_cat_box.png,351.0,134.0,474.0,242.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_final/masks/row_0158_object_202_sam_mask.png,,0.8929511308670044,0.0330602271093862,0.5246636771300448,0.0118345690025307,84.49821871723037,cuda,vit_b,box,partial_occlusion,False,False,True,False,False,train,SAM ViT-B box
139,000016.png,171,data/cogar_sim_500_final/rgb/000016.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000171_img_000016_cat_robot_gripper.png,315.0,74.0,356.0,76.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_final/masks/row_0139_object_171_sam_mask.png,,0.5445854663848877,0.0416666666666666,0.3255813953488372,0.0120638869993854,82.89202311418723,cuda,vit_b,robot_gripper,transparent_glass,False,False,True,False,False,train,SAM ViT-B box
2313,000339.png,2934,data/cogar_sim_500_final/rgb/000339.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00002934_img_000339_cat_cable.png,210.0,108.0,364.0,214.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_final/masks/row_2313_object_2934_sam_mask.png,,0.5965339541435242,0.0447647951441578,0.1282799127539429,0.1559950880000542,6.41045825750393,cuda,vit_b,cable,dynamic_scene,False,False,True,False,True,train,SAM ViT-B box
