row_index,image_id,file_name,object_id,category_name,challenge_primary,image_path,gt_mask_path,mask_output_path,iou,boundary_f1,sam_score,image_latency_sec,prediction_latency_sec,total_latency_sec,fps,run
139,17,000016.png,171,robot_gripper,transparent_glass,data/cogar_sim_500_final/rgb/000016.png,data/cogar_sim_500_final/instance_masks/final/ann_00000171_img_000016_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_00139_object_171_mobilesam_box_mask.png,0.0,1.0,0.8250021934509277,0.0,0.0128507539993734,0.0128507539993734,77.81644563803486,MobileSAM box
2505,363,000362.png,3172,cable,partial_occlusion,data/cogar_sim_500_final/rgb/000362.png,data/cogar_sim_500_final/instance_masks/final/ann_00003172_img_000362_cat_cable.png,outputs/sim_mobilesam_box_final/masks/row_02505_object_3172_mobilesam_box_mask.png,0.0,0.2825975281781646,0.9419093132019044,0.0,0.012815258000046,0.012815258000046,78.03198343696315,MobileSAM box
1769,260,000259.png,2247,robot_gripper,dynamic_scene,data/cogar_sim_500_final/rgb/000259.png,data/cogar_sim_500_final/instance_masks/final/ann_00002247_img_000259_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_01769_object_2247_mobilesam_box_mask.png,0.0013586956521739,0.6625766871165644,0.8717718124389648,0.0,0.0128332180029246,0.0128332180029246,77.9227781973391,MobileSAM box
2370,345,000344.png,3001,robot_gripper,dynamic_scene,data/cogar_sim_500_final/rgb/000344.png,data/cogar_sim_500_final/instance_masks/final/ann_00003001_img_000344_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_02370_object_3001_mobilesam_box_mask.png,0.015267175572519,0.8382352941176471,0.9225019216537476,0.0,0.012748310000461,0.012748310000461,78.44176992588301,MobileSAM box
3813,554,000553.png,4823,cable,small_parts,data/cogar_sim_500_final/rgb/000553.png,data/cogar_sim_500_final/instance_masks/final/ann_00004823_img_000553_cat_cable.png,outputs/sim_mobilesam_box_final/masks/row_03813_object_4823_mobilesam_box_mask.png,0.018646408839779,0.5163511187607573,0.9005193710327148,0.0,0.0128289390013378,0.0128289390013378,77.94876878717061,MobileSAM box
2000,303,000302.png,2555,robot_gripper,partial_occlusion,data/cogar_sim_500_final/rgb/000302.png,data/cogar_sim_500_final/instance_masks/final/ann_00002555_img_000302_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_02000_object_2555_mobilesam_box_mask.png,0.0221021611001964,0.7954971857410881,0.7819560766220093,0.0,0.0128400260000489,0.0128400260000489,77.88146223350222,MobileSAM box
1799,263,000262.png,2281,robot_gripper,partial_occlusion,data/cogar_sim_500_final/rgb/000262.png,data/cogar_sim_500_final/instance_masks/final/ann_00002281_img_000262_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_01799_object_2281_mobilesam_box_mask.png,0.0256024096385542,0.9090909090909092,0.915412187576294,0.0,0.0127447490012855,0.0127447490012855,78.46368727223525,MobileSAM box
2416,352,000351.png,3068,robot_gripper,transparent_glass,data/cogar_sim_500_final/rgb/000351.png,data/cogar_sim_500_final/instance_masks/final/ann_00003068_img_000351_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_02416_object_3068_mobilesam_box_mask.png,0.0321100917431192,0.6713780918727916,0.9560165405273438,0.0,0.0132529279981099,0.0132529279981099,75.45502398734932,MobileSAM box
3966,577,000576.png,5021,robot_gripper,transparent_glass,data/cogar_sim_500_final/rgb/000576.png,data/cogar_sim_500_final/instance_masks/final/ann_00005021_img_000576_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_03966_object_5021_mobilesam_box_mask.png,0.0366300366300366,1.0,0.8548156023025513,0.0,0.01329577299839,0.01329577299839,75.21187373769766,MobileSAM box
1233,190,000189.png,1576,connector,dynamic_scene,data/cogar_sim_500_final/rgb/000189.png,data/cogar_sim_500_final/instance_masks/final/ann_00001576_img_000189_cat_connector.png,outputs/sim_mobilesam_box_final/masks/row_01233_object_1576_mobilesam_box_mask.png,0.0444954128440367,0.8393285371702639,0.8726328611373901,0.0,0.0127421899996988,0.0127421899996988,78.47944505800264,MobileSAM box
158,23,000022.png,202,box,partial_occlusion,data/cogar_sim_500_final/rgb/000022.png,data/cogar_sim_500_final/instance_masks/final/ann_00000202_img_000022_cat_box.png,outputs/sim_mobilesam_box_final/masks/row_00158_object_202_mobilesam_box_mask.png,0.0473886438024761,0.7838682766930978,0.9387181997299194,0.0,0.0125382489968615,0.0125382489968615,79.755953183759,MobileSAM box
2582,376,000375.png,3279,robot_gripper,reflective_metal,data/cogar_sim_500_final/rgb/000375.png,data/cogar_sim_500_final/instance_masks/final/ann_00003279_img_000375_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_02582_object_3279_mobilesam_box_mask.png,0.049380398047315,0.7794404684450228,0.8373494148254395,0.0,0.012628250002308,0.012628250002308,79.18753586737918,MobileSAM box
843,132,000131.png,1075,robot_gripper,transparent_glass,data/cogar_sim_500_final/rgb/000131.png,data/cogar_sim_500_final/instance_masks/final/ann_00001075_img_000131_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_00843_object_1075_mobilesam_box_mask.png,0.0548083389374579,0.7258485639686684,0.8561831712722778,0.0,0.0127437769988318,0.0127437769988318,78.46967191058516,MobileSAM box
2076,312,000311.png,2646,robot_gripper,transparent_glass,data/cogar_sim_500_final/rgb/000311.png,data/cogar_sim_500_final/instance_masks/final/ann_00002646_img_000311_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_02076_object_2646_mobilesam_box_mask.png,0.0556792873051225,0.7071428571428572,0.7960846424102783,0.0,0.0127094050003506,0.0127094050003506,78.68188951193298,MobileSAM box
3895,565,000564.png,4932,tool,dynamic_scene,data/cogar_sim_500_final/rgb/000564.png,data/cogar_sim_500_final/instance_masks/final/ann_00004932_img_000564_cat_tool.png,outputs/sim_mobilesam_box_final/masks/row_03895_object_4932_mobilesam_box_mask.png,0.0759528888064546,0.6219579953328147,0.980979323387146,0.0,0.012873686999228,0.012873686999228,77.67782454707503,MobileSAM box
3636,529,000528.png,4607,cable,small_parts,data/cogar_sim_500_final/rgb/000528.png,data/cogar_sim_500_final/instance_masks/final/ann_00004607_img_000528_cat_cable.png,outputs/sim_mobilesam_box_final/masks/row_03636_object_4607_mobilesam_box_mask.png,0.0763779527559055,0.7989276139410187,0.8069583177566528,0.0,0.0134009329995024,0.0134009329995024,74.62167000141942,MobileSAM box
1372,211,000210.png,1755,metal_part,reflective_metal,data/cogar_sim_500_final/rgb/000210.png,data/cogar_sim_500_final/instance_masks/final/ann_00001755_img_000210_cat_metal_part.png,outputs/sim_mobilesam_box_final/masks/row_01372_object_1755_mobilesam_box_mask.png,0.0813480534572922,0.9090909090909092,0.9805880784988404,0.0,0.0127633070005686,0.0127633070005686,78.34960014324268,MobileSAM box
3075,447,000446.png,3894,robot_gripper,transparent_glass,data/cogar_sim_500_final/rgb/000446.png,data/cogar_sim_500_final/instance_masks/final/ann_00003894_img_000446_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_03075_object_3894_mobilesam_box_mask.png,0.08880507457569,0.6308724832214765,0.8895519971847534,0.0,0.0129137140029342,0.0129137140029342,77.43705643262486,MobileSAM box
3324,482,000481.png,4205,robot_gripper,transparent_glass,data/cogar_sim_500_final/rgb/000481.png,data/cogar_sim_500_final/instance_masks/final/ann_00004205_img_000481_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_03324_object_4205_mobilesam_box_mask.png,0.0974930362116991,0.5660554364847409,0.7535080909729004,0.0,0.0128001949997269,0.0128001949997269,78.12380983425106,MobileSAM box
1249,192,000191.png,1595,robot_gripper,transparent_glass,data/cogar_sim_500_final/rgb/000191.png,data/cogar_sim_500_final/instance_masks/final/ann_00001595_img_000191_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_01249_object_1595_mobilesam_box_mask.png,0.0975308641975308,0.7786259541984732,0.8507223129272461,0.0,0.0127978300006361,0.0127978300006361,78.13824687078129,MobileSAM box
1637,245,000244.png,2092,robot_gripper,dynamic_scene,data/cogar_sim_500_final/rgb/000244.png,data/cogar_sim_500_final/instance_masks/final/ann_00002092_img_000244_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_01637_object_2092_mobilesam_box_mask.png,0.1085271317829457,1.0,0.6807279586791992,0.0,0.0127286779970745,0.0127286779970745,78.5627541391047,MobileSAM box
3908,568,000567.png,4950,cable,partial_occlusion,data/cogar_sim_500_final/rgb/000567.png,data/cogar_sim_500_final/instance_masks/final/ann_00004950_img_000567_cat_cable.png,outputs/sim_mobilesam_box_final/masks/row_03908_object_4950_mobilesam_box_mask.png,0.1091608322650626,0.7575757575757575,0.9112517833709716,0.0,0.0131504189994302,0.0131504189994302,76.04320440613527,MobileSAM box
1931,290,000289.png,2464,robot_gripper,dynamic_scene,data/cogar_sim_500_final/rgb/000289.png,data/cogar_sim_500_final/instance_masks/final/ann_00002464_img_000289_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_01931_object_2464_mobilesam_box_mask.png,0.1146828844483058,0.8179775280898877,0.8808153867721558,0.0,0.0130027980012528,0.0130027980012528,76.90652426528894,MobileSAM box
4100,596,000595.png,5199,box,reflective_metal,data/cogar_sim_500_final/rgb/000595.png,data/cogar_sim_500_final/instance_masks/final/ann_00005199_img_000595_cat_box.png,outputs/sim_mobilesam_box_final/masks/row_04100_object_5199_mobilesam_box_mask.png,0.1282860147213459,0.8996269787918331,0.7807120084762573,0.0,0.012881919999927,0.012881919999927,77.62817965067808,MobileSAM box
4190,606,000605.png,5309,cable,reflective_metal,data/cogar_sim_500_final/rgb/000605.png,data/cogar_sim_500_final/instance_masks/final/ann_00005309_img_000605_cat_cable.png,outputs/sim_mobilesam_box_final/masks/row_04190_object_5309_mobilesam_box_mask.png,0.1333039550512283,0.7562446167097329,0.9611345529556274,0.0,0.0134484669979428,0.0134484669979428,74.35791753461288,MobileSAM box
