image_id,file_name,scene_id,frame_id,split,image_path,binary_mask_path,instance_mask_path,semantic_mask_path,category_id,category_name,object_id,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,point_x,point_y,challenge_primary,challenge_secondary,is_reflective,is_transparent,is_occluded,is_small_part,is_dynamic,area,source_index,iou,boundary_f1,predicted_iou
1,000000.png,v1_clean_scene_000,1,train,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000003_img_000000_cat_metal_part.png,data/cogar_sim_500_final/instance_masks/final/ann_00000003_img_000000_cat_metal_part.png,,3,metal_part,3,512.0,201.0,556.0,286.0,533.0,246.0,reflective_metal,,True,False,False,False,False,2584.0,0,0.9547213622291022,0.9945155393053016,0.7966983318328857
1,000000.png,v1_clean_scene_000,1,train,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000004_img_000000_cat_tool.png,data/cogar_sim_500_final/instance_masks/final/ann_00000004_img_000000_cat_tool.png,,9,tool,4,534.0,229.0,585.0,374.0,553.0,350.0,reflective_metal,,True,False,False,False,False,4446.0,1,0.19057239057239056,0.3851240955418968,0.8383960723876953
1,000000.png,v1_clean_scene_000,1,train,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000005_img_000000_cat_box.png,data/cogar_sim_500_final/instance_masks/final/ann_00000005_img_000000_cat_box.png,,10,box,5,395.0,149.0,550.0,269.0,454.0,209.0,reflective_metal,,False,False,False,False,False,15468.0,2,0.9846143900704635,0.999129677980853,0.977311372756958
1,000000.png,v1_clean_scene_000,1,train,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000006_img_000000_cat_metal_part.png,data/cogar_sim_500_final/instance_masks/final/ann_00000006_img_000000_cat_metal_part.png,,3,metal_part,6,222.0,122.0,298.0,195.0,260.0,158.0,reflective_metal,,True,False,False,False,False,4949.0,3,0.9888956188168787,1.0,0.8737201690673828
1,000000.png,v1_clean_scene_000,1,train,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000007_img_000000_cat_metal_part.png,data/cogar_sim_500_final/instance_masks/final/ann_00000007_img_000000_cat_metal_part.png,,3,metal_part,7,161.0,218.0,239.0,339.0,199.0,288.0,reflective_metal,,True,False,False,False,False,7685.0,4,0.5452179570592063,0.46900269541778977,0.846089243888855
1,000000.png,v1_clean_scene_000,1,train,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000008_img_000000_cat_screw.png,data/cogar_sim_500_final/instance_masks/final/ann_00000008_img_000000_cat_screw.png,,6,screw,8,217.0,227.0,232.0,249.0,226.0,233.0,reflective_metal,,False,False,False,True,False,200.0,5,0.9170506912442397,1.0,0.9639219045639038
1,000000.png,v1_clean_scene_000,1,train,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000009_img_000000_cat_metal_part.png,data/cogar_sim_500_final/instance_masks/final/ann_00000009_img_000000_cat_metal_part.png,,3,metal_part,9,306.0,269.0,378.0,386.0,352.0,308.0,reflective_metal,,True,False,False,False,False,5295.0,6,0.4521246458923513,0.5258754863813229,0.8383897542953491
2,000001.png,v1_clean_scene_001,2,train,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000011_img_000001_cat_connector.png,data/cogar_sim_500_final/instance_masks/final/ann_00000011_img_000001_cat_connector.png,,7,connector,11,461.0,112.0,551.0,159.0,522.0,136.0,transparent_glass,,False,False,True,True,False,3482.0,7,0.9807474518686297,1.0,0.8292815685272217
2,000001.png,v1_clean_scene_001,2,train,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000012_img_000001_cat_glass_object.png,data/cogar_sim_500_final/instance_masks/final/ann_00000012_img_000001_cat_glass_object.png,,4,glass_object,12,378.0,68.0,468.0,216.0,429.0,165.0,transparent_glass,,False,True,True,False,False,6778.0,8,0.9555230431602049,0.9313987502771466,0.9270016551017761
2,000001.png,v1_clean_scene_001,2,train,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000013_img_000001_cat_glass_object.png,data/cogar_sim_500_final/instance_masks/final/ann_00000013_img_000001_cat_glass_object.png,,4,glass_object,13,236.0,176.0,321.0,339.0,279.0,223.0,transparent_glass,,False,True,True,False,False,12045.0,9,0.5021997177720594,0.334453723526923,0.7759995460510254
2,000001.png,v1_clean_scene_001,2,train,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000014_img_000001_cat_cable.png,data/cogar_sim_500_final/instance_masks/final/ann_00000014_img_000001_cat_cable.png,,8,cable,14,325.0,283.0,395.0,480.0,337.0,479.0,transparent_glass,,False,False,True,False,False,4059.0,10,0.9633004926108374,1.0,0.9648891687393188
