image_id,file_name,scene_id,frame_id,split,image_path,binary_mask_path,instance_mask_path,semantic_mask_path,category_id,category_name,object_id,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,point_x,point_y,challenge_primary,challenge_secondary,is_reflective,is_transparent,is_occluded,is_small_part,is_dynamic,area,source_index,iou,boundary_f1,predicted_iou,num_auto_candidates
1,000000.png,v1_clean_scene_000,1,train,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000003_img_000000_cat_metal_part.png,data/cogar_sim_500_final/instance_masks/final/ann_00000003_img_000000_cat_metal_part.png,,3,metal_part,3,512.0,201.0,556.0,286.0,533.0,246.0,reflective_metal,,True,False,False,False,False,2584.0,0,0.9729311678267595,0.9981785063752276,0.9772627353668213,18
1,000000.png,v1_clean_scene_000,1,train,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000004_img_000000_cat_tool.png,data/cogar_sim_500_final/instance_masks/final/ann_00000004_img_000000_cat_tool.png,,9,tool,4,534.0,229.0,585.0,374.0,553.0,350.0,reflective_metal,,True,False,False,False,False,4446.0,1,0.6132409110199463,0.7568904593639576,0.82410728931427,18
1,000000.png,v1_clean_scene_000,1,train,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000005_img_000000_cat_box.png,data/cogar_sim_500_final/instance_masks/final/ann_00000005_img_000000_cat_box.png,,10,box,5,395.0,149.0,550.0,269.0,454.0,209.0,reflective_metal,,False,False,False,False,False,15468.0,2,0.9822236586942469,0.997384481255449,1.0134990215301514,18
1,000000.png,v1_clean_scene_000,1,train,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000006_img_000000_cat_metal_part.png,data/cogar_sim_500_final/instance_masks/final/ann_00000006_img_000000_cat_metal_part.png,,3,metal_part,6,222.0,122.0,298.0,195.0,260.0,158.0,reflective_metal,,True,False,False,False,False,4949.0,3,0.9882851949101191,1.0,1.0089795589447021,18
1,000000.png,v1_clean_scene_000,1,train,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000007_img_000000_cat_metal_part.png,data/cogar_sim_500_final/instance_masks/final/ann_00000007_img_000000_cat_metal_part.png,,3,metal_part,7,161.0,218.0,239.0,339.0,199.0,288.0,reflective_metal,,True,False,False,False,False,7685.0,4,0.9769830949284786,1.0,1.0066688060760498,18
1,000000.png,v1_clean_scene_000,1,train,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000008_img_000000_cat_screw.png,data/cogar_sim_500_final/instance_masks/final/ann_00000008_img_000000_cat_screw.png,,6,screw,8,217.0,227.0,232.0,249.0,226.0,233.0,reflective_metal,,False,False,False,True,False,200.0,5,0.0002592016588906169,0.14814814814814814,1.0066688060760498,18
1,000000.png,v1_clean_scene_000,1,train,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000009_img_000000_cat_metal_part.png,data/cogar_sim_500_final/instance_masks/final/ann_00000009_img_000000_cat_metal_part.png,,3,metal_part,9,306.0,269.0,378.0,386.0,352.0,308.0,reflective_metal,,True,False,False,False,False,5295.0,6,0.9712936732766762,1.0,1.0023882389068604,18
2,000001.png,v1_clean_scene_001,2,train,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000011_img_000001_cat_connector.png,data/cogar_sim_500_final/instance_masks/final/ann_00000011_img_000001_cat_connector.png,,7,connector,11,461.0,112.0,551.0,159.0,522.0,136.0,transparent_glass,,False,False,True,True,False,3482.0,7,0.9852649475772174,1.0,0.9896382093429565,18
2,000001.png,v1_clean_scene_001,2,train,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000012_img_000001_cat_glass_object.png,data/cogar_sim_500_final/instance_masks/final/ann_00000012_img_000001_cat_glass_object.png,,4,glass_object,12,378.0,68.0,468.0,216.0,429.0,165.0,transparent_glass,,False,True,True,False,False,6778.0,8,0.95409210912291,0.9105434174212449,0.9881769418716431,18
2,000001.png,v1_clean_scene_001,2,train,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000013_img_000001_cat_glass_object.png,data/cogar_sim_500_final/instance_masks/final/ann_00000013_img_000001_cat_glass_object.png,,4,glass_object,13,236.0,176.0,321.0,339.0,279.0,223.0,transparent_glass,,False,True,True,False,False,12045.0,9,0.982648401826484,1.0,0.9979075193405151,18
2,000001.png,v1_clean_scene_001,2,train,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000014_img_000001_cat_cable.png,data/cogar_sim_500_final/instance_masks/final/ann_00000014_img_000001_cat_cable.png,,8,cable,14,325.0,283.0,395.0,480.0,337.0,479.0,transparent_glass,,False,False,True,False,False,4059.0,10,0.95590046809559,0.9825581395348837,0.9974477291107178,18
2,000001.png,v1_clean_scene_001,2,train,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000015_img_000001_cat_robot_gripper.png,data/cogar_sim_500_final/instance_masks/final/ann_00000015_img_000001_cat_robot_gripper.png,,2,robot_gripper,15,318.0,13.0,455.0,182.0,361.0,130.0,transparent_glass,,False,False,True,False,False,13881.0,11,0.8682066089188322,0.8327679662271066,0.9546629190444946,18
2,000001.png,v1_clean_scene_001,2,train,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000016_img_000001_cat_robot_gripper.png,data/cogar_sim_500_final/instance_masks/final/ann_00000016_img_000001_cat_robot_gripper.png,,2,robot_gripper,16,322.0,57.0,384.0,266.0,349.0,204.0,transparent_glass,,False,False,True,False,False,6148.0,12,0.7334844559585493,0.742555753976494,0.990517258644104,18
